Kat. číslo;Názov tovaru;Bežná cena;Výrobca;Krátky popis;Dlhý popis;Obrázky;Hlavna kategória;Viditeľný
TGN 14Ve04;Liebherr TGN 14Ve04 Pure;519.0;Liebherr;"Nofrost: ano
Úspornosť: E
Farba: Biela
Výška (cm): 85.00
Šírka (cm): 55.00
Hĺbka (cm): 60.70
Hmotnosť prístroja vrátane obalu (kg): 42.00
Spotreba elektrickej energie za 365 dní: 185.00
Hlučnosť (dB): 37.00
Počet chladiacich okruhov: 1
Doba skladovania pri výpadku prúdu (h): 9
Čistý objem celkom (l): 93
Čistý objem mrazničky (l): 93.00
Zmrazovacia kapacita za 24 h(kg): 8";"NoFrost

Keď otvoríte svoj mraziaci priečinok, chcete vidieť zmrazené potraviny – ale určite žiadny ľad a námrazu. NoFrost chráni mraziaci priestor pred neželanou tvorbou námrazy, ktorá spotrebúva veľa energie a dokáže byť drahá. NoFrost znamená: Už žiadne namáhavé a časovo náročné odmrazovanie mraziaceho priečinku, viac času na iné vec – a úspora peňazí.

LED osvetlenie mraziacej časti

Keď vo svojej mrazničke Liebherr otvoríte zásuvky, budete mať radosť nielen z pohľadu na svoje potraviny, ale aj z atraktívneho osvetlenia. Postarajú sa o to výkonné, trvanlivé a ekologické LED diódy. Osvetlenie dodá prehľad o obsahu ešte ľahšie a zároveň je nezvyčajným dizajnovým prvkom.

SuperFrost

Chcete zamraziť svoje čerstvé potraviny tak, aby ste uchovali čo najviac vitamínov? Jednoducho aktivujte funkciu SuperFrost a mraziaca časť zvýši svoj chladiaci výkon. Pri vkladaní nezmrazených potravín tak ostáva teplota konštantná. Funkcia SuperFrost tiež šetrí energiu: ak funkciu nevypnete manuálne, automaticky sa deaktivuje po 65 hodinách.

TouchControl

Inteligentné funkcie, ako napríklad SuperFrost alebo iné skryté funkcie, môžete zapnúť jedným ťuknutím bez nutnosti otvárať dvierka mrazničky. TouchControl predstavuje jednoduché a energeticky efektívne riešenie.

VarioSpace

Vo všetkých mrazničkách s funkciami NoFrost a SmartFrost sa dajú zásuvky a pod nimi umiestnené sklenené dvojité dná pohodlne vyberať von. Vznikne tak VarioSpace, čo je praktický systém poskytujúci extra odkladacie miesto, aby sa rýchlo vytvoril priestor aj pre väčšie tovary, ktoré treba zmraziť.

FrostProtect

Nie všetky mrazničky sú umiestnené vo vykurovanej miestnosti. Mnohé sú umiestnené aj v studených garážach alebo skladoch. Nie je to žiadny problém, pretože váš spotrebič Liebherr je dokonale nastavený aj na také chladné prostredie. Všetky jeho komponenty sú dimenzované na prevádzku aj pri teplotách okolia až –15 °C.";;;1
FKv 503;Liebherr FKv 503;1413.27;Liebherr;"Úspornosť: C
Spotreba elektrickej energie za 365 dní: 284.00
Hlučnosť (dB): 39.00
Čistý objem celkom (l): 44
Čistý objem chladničky (l): 44.00";"Ekologické chladiace médium

Šetrnejšie k prírode môžete byť vďaka pultovým mrazákům s chladiacim médiami R600 a R290, ktorá svojimi ekologickými vlastnosťami takmer nahradila média R134a a R404a. Vďaka chladiacim médiám R600 a R290 u Liebherr spotrebičov je znížená ekologická stopa s ohľadom na CO2, majú minimálny skleníkový efekt a nulový potenciál pre ničenie ozónu.

Prezentácia produktov s vysokým účinkom

Osvetlenie LED účinne prezentuje uložené výrobky vo vnútornom priestore. LED osvetlenie je navyše energeticky úsporné.

Chladenie cirkulujúcim vzduchom

Chladenie čerstvo uložených produktov zaistí vysoko výkonné vetráky, ktoré zároveň zachovávajú rovnomernú chladiacu teplotu vo vnútri chladničky.

Nastaviteľné roštové police

Možnosť nastaviť výšku roštových políc naozaj oceníte! Môžete tak pozmeňovať vnútorné usporiadanie spotrebiče tak, aby ste mohli bezpečne skladovať fľaše rôznych veľkosti - postojačky aj v ľahu. Nosnosť statných roštových políc je 30 až 50 kg, čo umožňuje ukladať objemnejšie množstvo.

Plastový vnútorný kontajner

Plastový vnútorný kontajner je zhotovený z plne recyklovateľného trvanlivého plastu. Navyše je vyrobený z jedného kusu, vďaka čomu je ľahko čistiteľný.

Účinný systém chladenia

V odbore chladiacich technológií sa Liebherr odborne pohybuje už niekoľko desiatok rokov a garantuje vysokú kvalitu svojich chladiacich systémov. Liebherr sa zameriava na najvyššiu kvalitu kompresorov, výparníkov, kondenzátorov a ďalších komponentov chladiacich prístrojov. Systém chladenia je navyše veľmi úsporný.";;;1
WPgbi 5283;Liebherr WPgbi 5283 Vinidor Selection;3899.0;Liebherr;"Úspornosť: F
Farba: BlackSteel - (čierna oceľ)
Výška (cm): 185.40
Šírka (cm): 59.70
Hĺbka (cm): 67.80
Hmotnosť prístroja vrátane obalu (kg): 124.40
Spotreba elektrickej energie za 365 dní: 126.00
Hlučnosť (dB): 35.00
Počet chladiacich okruhov: 3
Čistý objem celkom (l): 358";"Vinotéky: dverový alarm

Spustiť poplach hneď, ako sa otvoria. Ak dvere na vašej chladničke na temperovanie vína zostanú otvorené dlhšie ako 60 sekúnd, rozozvučí sa dverový alarm. Tento dostatočne hlasný alarm sprevádza aj pulzovanie osvetlenia spotrebiča. Vďaka tomu môžete okamžite zareagovať a udržať ideálne podmienky na temperovanie vín.

Vinotéky: alarm pri výpadku prúdu

Dokonalá ochrana. Naše chladničky na temperovanie vína ponúkajú rovnaké ideálne podmienky na správne skladovanie cenných zbierok ako vínne pivnice. Kedykoľvek však môže dôjsť k výpadku elektrického prúdu, a preto majú všetky naše spotrebiče funkciu alarmu, ktorá vás na to upozorní. Ak sa stane niečo vážne, vždy o tom budete vedieť.

Vinotéky: výškovo nastaviteľná drevená polica

Maximálna kapacita. S chladničkou na temperovanie vína Liebherr je organizovanie vašej rastúcej zbierky vín hračka. Interiér má navrhnutý tak, že doň môžete na drevené poličky uložiť fľaše hrdlami vedľa seba, čím využijete jeho kapacitu naplno. Vďaka tomu máte vždy dostatok miesta na stále pribúdajúce kúsky. A vy tak môžete pokojne rozširovať svoju zbierku.

Vinotéky: oddeľovač zón

Ešte väčšia flexibilita pri skladovaní fliaš vína. Modely Vinidor Selection sú vybavené drevenými tyčami FlexFit. Môžu byť použité ako príslušenstvo pre modely Vinidor s plastovými policami.

Vinotéky: SuperSilent

Reklama na ticho. Nové chladničky na temperovanie vína od spoločnosti Liebherr sú navrhnuté tak, aby boli mimoriadne tiché. Pokojne môžete pri nich aj čítať, pretože počuť budete iba obracanie strán. Tento pokoj a ticho neoceníte iba vy, ale aj vaše vína, ktoré tak môžu v pokoji dozrievať.

Vinotéky: StorageZone

Vyhradená spodná časť zaisťuje skladovacie podmienky s dokonalou vlhkosťou. Pomocou funkcie StorageZone si môžete vybrať ideálnu vlhkosť podľa svojich potrieb. Vychutnajte si trvalú autentickosť s optimálnym ovládaním klímy.";;;1
EFE 4652;Liebherr EFE 4652;1302.57;Liebherr;"Úspornosť: D
Spotreba elektrickej energie za 365 dní: 750.08
Hlučnosť (dB): 52.00
Systém chladenia: statický
Čistý objem celkom (l): 339
Čistý objem mrazničky (l): 339.00";"Ekologické chladiace médium

Šetrnejšie k prírode môžete byť vďaka pultovým mrazákům s chladiacim médiami R600 a R290, ktorá svojimi ekologickými vlastnosťami takmer nahradila média R134a a R404a. Vďaka chladiacim médiám R600 a R290 u Liebherr spotrebičov je znížená ekologická stopa s ohľadom na CO2, majú minimálny skleníkový efekt a nulový potenciál pre ničenie ozónu.

Prezentácia produktov s vysokým účinkom

Osvetlenie LED účinne prezentuje uložené výrobky vo vnútornom priestore. LED osvetlenie je navyše energeticky úsporné.

Tvrdené bezpečnostné sklo z jedného kusu

Tvrdené sklo z jedného kusu bezpečne ochráni váš spotrebič Liebherr pred teplotnými zmenami, nárazom či poškodením.

Posuvná sklenená veka

Ideálnu prezentáciu a praktické skladovanie tovaru zaistí posuvná sklenená veka vyrobená z jedného kusu bezpečnostného tvrdeného skla. Veká zaručujú vysokú odolnosť proti poškodeniu či nárazu.

Účinný systém chladenia

V odbore chladiacich technológií sa Liebherr odborne pohybuje už niekoľko desiatok rokov a garantuje vysokú kvalitu svojich chladiacich systémov. Liebherr sa zameriava na najvyššiu kvalitu kompresorov, výparníkov, kondenzátorov a ďalších komponentov chladiacich prístrojov. Systém chladenia je navyše veľmi úsporný.";;;1
s mrazničkou;Chladničky s mrazničkou LIEBHERR;1399.0;Liebherr;"1.: Liebherr CBNa 572i Plus BioFresh, NoFrost, Rozmery (cm): 201.50/… Výška 201.50, šířka 59.70, hloubka 67.50
2.: Liebherr CNc 5023 Plus NoFrost, Rozmery (cm): 165.50/59.70/67.5… Výška 165.50, šířka 59.70, hloubka 67.50
3.: Liebherr CUe 281-26 Smartfrost, Rozmery (cm): 161.20/55.00/6… Výška 161.20, šířka 55.00, hloubka 63.00";;https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pMinic2/Liebherr_CBNa_572i_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pMinic2/Liebherr_CNc_5023_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pMinic2/Liebherr_CUe281_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CBNa_572i_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CNc_5023_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CUe281_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/bab524d80531ae921139c2cd1f04233a_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CBNbda_572i_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_KGNsd_57Vc03_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CUele231_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CNbdc_573i_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_IKGNS_51Vd03_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CUe231_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CBNsdc_765i_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CBNsda_572i_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CBNsdc_573i_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CBNc_5723_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CUele281_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CBNsdc_522i_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CBNsfc_572i_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CNsfc_5023_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/93512c3fb079078963d0631d6a9db405_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CBNc_5223_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CNsfc_573i_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CNc_5724_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_KGNsf_57Vd03_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_KGN_57Vd03_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/cnf-5703-1-1-1_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CNd_205723.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CNd_205023.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/pShow2/cuel-2831.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/pShow2/cu-2831.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CT_202131.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/pShow2/cu-3331.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/pShow2/liebherr-cbnsda-5753-prime-sk-foto-1.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_KGN_52Vc03_2_21GAx.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CTel_202131.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/pShow2/cuel-2331.jpg,https://www.topchladenie.sk/data/sharedfiles/obrazky/produkty/pShow2/Liebherr_CUe331_21GAx.jpg;;1
MBsddi 9558;Liebherr MBsddi 9558 Prime;4599.0;Liebherr;"BluPerformance: ano
Biofresh: ano
Nofrost: ano
Úspornosť: D
Farba: Nerez
Výška (cm): 180.50
Šírka (cm): 90.60
Hĺbka (cm): 74.50
Hmotnosť prístroja vrátane obalu (kg): 174.50
Spotreba elektrickej energie za 365 dní: 284.00
Hlučnosť (dB): 39.00
Počet chladiacich okruhov: 2
Doba skladovania pri výpadku prúdu (h): 12
Čistý objem celkom (l): 539
Čistý objem chladničky (l): 309.00
Čistý objem mrazničky (l): 230.00
Zmrazovacia kapacita za 24 h(kg): 6";"SmartSteel

SmartSteel - už žiadne zložité udržiavanie nerezu!
Technológia SmartSteel od Liebherr eliminuje zanechávanie odtlačkov na nerezovom povrchu spotrebičov Liebherr.
 
Jedná sa o zvláštnu, dizajnovo podarenú úpravu povrchu. Zušľachtením nerezovej ocele a špeciálnym povrchovým zdrsnením je dosiahnuté potlačenie zachytávania odtlačkov na povrchu Vašej chladničky, či mrazničky Liebherr.
 
Už nikdy nebudete musieť stále dookola utierať odtlačky z Vášho spotrebiča.

SuperFrost

Funkcia SuperFrost vám umožní rýchle zamrazenie čerstvo uložených potravín vďaka rýchlemu odnímanie tepla z vnútorného priestoru chladničky. Potraviny si tak zachovávajú všetky výživové hodnoty. Návrat z teploty -32 ° C k pôvodne nastavenej teplote v mrazničke je regulovaný na základe množstva alebo času. To zaistí šetrnú energetickú úsporu.

Alarm pri výpadku prúdu

Koniec roztečenej zmrzline vo vašom mrazničke v dôsledku náhleho výpadku prúdu. Šikovný alarm, zabudovaný v spotrebičoch Liebherr, vám dá nielen akusticky, ale aj vizuálne na zabudovanom displeji vedieť, že je vaša zmrzlina v ohrození. Nebude vás však desiť zbytočne! Pokiaľ bude výpadok krátky a teplota sa v mraziacom oddiele razantne nezvýši, alarm zostane vypnutý.

French Door: VarioTempZone

Maximálna flexibilita pri skladovaní potravín: V priestore VarioTempZone môžete nastaviť presnú teplotu od –18 °C do –10 °C a od –2 °C do +5 °C. Môžete ho teda používať ako dodatočnú chladiacu zónu počas večierkov, napríklad na drinky. A čo ak ostalo jedlo z pohostenia? Stále máte dostatok miesta na zmrazenie, takže nemusíte nič vyhadzovať.

French Door: centrum Water & Ice

Jednoducho osvieženie: Centrum Water & Ice Vám kedykoľvek poskytne sviežu studenú vodu spolu s krásne tvarovanými čírymi kockami ľadu a drveným ľadom. Vďaka tomu bude aj na spontánnych večierkoch ľadu na podávanie ľadových nápojov vždy viac než dosť. Praktické vlastnosti navyše: Dávkovač vody umožňuje nastaviť množstvo vody podľa požadovanej nádoby.

French Door: interiér SmartSteel

Zadná stena z elegantného materiálu SmartSteel dodáva Vašej chladničke Liebherr štýlový vzhľad. SmartSteel si zamilujú aj Vaše potraviny, pretože nehrdzavejúca oceľ je pre ne bezpečná a hygienická. Oceľ SmartSteel je tiež odolná proti odtlačkom prstov, čo ešte viac spríjemňuje vzhľad.";;;1
RBbsc 5250;Liebherr RBbsc 5250 Prime;1599.0;Liebherr;"BluPerformance: ano
Biofresh: ano
Úspornosť: C
Farba: BlackSteel - (čierna oceľ)
Výška (cm): 185.50
Šírka (cm): 59.70
Hĺbka (cm): 67.50
Hmotnosť prístroja vrátane obalu (kg): 83.30
Spotreba elektrickej energie za 365 dní: 107.00
Hlučnosť (dB): 34.00
Počet chladiacich okruhov: 1
Čistý objem celkom (l): 387
Čistý objem chladničky (l): 387.00";"SmartDeviceBox ako dovybavenie

Dovybaviť sa zariadením SmartDeviceBox vám umožní prepojiť váš Liebherr s internetom. SmartDeviceBox stačí jednoducho nainštalovať do vášho chytrého zariadenia a hneď je vám otvorený celý svet digitálnych možností.
Liebherr SmartDeviceBox pre voľne stojace modely 
Liebherr SmartDeviceBox pre vstavané modely

BlackSteel

Povrchová úprava BlackSteel (čierna nerezová oceľ) ťaží zo všetkých výhod technológie SmartSteel, ktorá na plášti spotrebiča s touto luxusnou povrchovou úpravou minimalizuje zanechávanie odtlačkov prstov . 
Čierne nerezová oceľ BlackSteel tvoria vonkajšie opláštenie takto označených chladničiek a mrazničiek LIEBHERR. 
Táto luxusná povrchová úprava je nielen praktická, ale aj nadčasová a dodáva spotrebičom naozaj luxusný vzhľad a dizajn, ako môžete sami posúdiť napríklad na obrázku nižšie.

SuperSilent

Dokonalé zladenie a vyladenie všetkých chladiacich komponentov ako ventily, ventilátory, kompresory a výparníky zaručujú úplné ticho a nerušený pokoj vo vašej kuchyni.

SoftTelescopic

U všetkých chladničiek LIEBHERR vo výbave Premium sú BioFresh úložné boxy usadené na teleskopických plnovýsuvoch SoftTelescopic, so samočinným vtiahnutím a jemným tlmením uzatváranie, čo je pri dennom používaní bezpečné, praktické a komfortné. Boxy možno plne vysunúť a vybrať pri otvorení dverí na 90 ° a väčším. Prehľadnosť je vyriešená centrálne integrovaným LED osvetlením.

Dverový alarm

K spusteniu upozornenie otvorených dverí v podobe akustického alarmu dochádza 60 sekúnd od otvorenia dverí. Dverový alarm tak zaistí ochranu pred nežiadúcimi teplotami, ktoré by mohli narušiť kvalitu uskladňovanie potravín.

Satinované sklenené poličky s ozdobnými lištami z ušľachtilej ocele

Zažite čistú radosť po každom otvorení – vďaka vyhladeným poličkám z bezpečnostného skla s lištami z ušľachtilej ocele. Ich výškové uloženie môžete komfortne zmeniť obratom ruky. Vďaka vyhladeniu škrabance na sklenej poličke prakticky nie sú viditeľné a polička má hodnotný a ušľachtilý vzhľad aj po rokoch.";;;1
GGv 5060;Liebherr GGv 5060;2447.0;Liebherr;"Nofrost: ano
Úspornosť: C
Farba: Nerez
Výška (cm): 186.40
Šírka (cm): 74.70
Hĺbka (cm): 79.10
Hmotnosť prístroja vrátane obalu (kg): 108.00
Spotreba elektrickej energie za 365 dní: 1245.00
Hlučnosť (dB): 55.00
Systém chladenia: dynamický
Čistý objem celkom (l): 325
Čistý objem mrazničky (l): 325.00";"Vonkajšia skriňa z ušľachtilej ocele

Vonkajšia skriňa je zhotovená z jednodielnych bočných stien bez špár, čo je veľmi hygienické a uľahčuje starostlivosť. Ušľachtilá oceľ je nehrdzavejúca legovaná oceľ, ktorá je navyše mimoriadne robustná, vďaka čomu je ideálna na požiadavky v profesionálnych odvetviach.

Chladenie cirkulačným vzduchom

Vysokovýkonné ventilátory sa starajú o rýchle vychladenie čerstvo uloženého tovaru a rovnomernú teplotu chladenia v celom interiéri.

Efektívny chladiaci systém

Na základe desaťročí skúseností v oblasti chladiacej techniky spojených s neustálym výskumom zaručuje Liebherr vynikajúcu kvalitu chladiaceho systému. Používanie kvalitných kompresorov, kondenzátorov, odparovačov a ďalších komponentov chladiacej techniky sa postará nielen o značný pokles v spotrebe energie, ale aj o pokles prevádzkových nákladov zariadení Liebherr.

Výškovo nastavovacie pätky

Tam, kde každodenná hygiena priestoru zohráva dôležitú úlohu, ponúkajú výškovo nastavovacie pätky dostatočnú svetlú výšku a zaručujú, že čistenie sa dá ľahko a pohodlne vykonať aj pod zariadením.

Technológia NoFrost

Už nikdy žiadne odmrazovanie: Pre bezpečnú dlhodobú čerstvosť ponúkajú zariadenia NoFrost od Liebherru chladiaci výkon profesionálnej kvality. Zamrazený tovar sa zmrazuje s vychladeným cirkulujúcim vzduchom a vlhkosť vzduchu sa odvádza preč. Mraziaci priestor tak ostáva vždy bez námrazy a na potravinách sa nevytvorí vrstva ľadu.

SwingLine

Elegantný dizajn SwingLine s bočnými hranami robí z týchto zariadení prvú voľbu pri najvyšších nárokoch na dizajn a techniku. Elegantne zakrivená konštrukcia robí zo zariadení Liebherr optický skvost v profesionálnom prostredí. Dvere SwingLine sú po celej svojej výške ergonomické s integrovaným profilom rukoväte, ľahko sa otvárajú a mimoriadne jednoducho sa čistia.";;;1
WTes 5972;Liebherr WTes 5972;3599.0;Liebherr;"Úspornosť: G
Farba: Nerez
Výška (cm): 192.00
Šírka (cm): 70.00
Hĺbka (cm): 74.20
Hmotnosť prístroja vrátane obalu (kg): 133.00
Spotreba elektrickej energie za 365 dní: 191.26
Hlučnosť (dB): 38.00
Počet chladiacich okruhov: 2
Systém chladenia: dynamický
Čistý objem celkom (l): 521";"Dverový poplach

Pre bezpečnú ochranu potravín varuje zvukový dverový poplach, keď sú dvere otvorené 60 sekúnd.

Detská poistka

Detská poistka sa dá naprogramovať tak, aby zabránila neúmyselnému vypnutiu zariadenia. Ak je detská poistka zapnutá, je zobrazená symbolom v MagicEye.

Vymeniteľný doraz dverí

Zariadenia sú v závode vybavené s pravým dorazom dverí. S možnosťou výmeny dorazu dverí sa dá zariadenie na svojom mieste vždy optimálne používať.

Viacfázové chladničky na víno

Viacfázové chladničky na víno radu Vinothek sa hodia hlavne na držanie zásob rôznych vín s rôznymi ideálnymi teplotami na konzumáciu. Požadované vrstvenie teplôt sa dosiahne používaním špeciálnych komponentov. V hornej oblasti sa dajú napríklad temperovať červené vína pri teplote +18 °C. Spodná oblasť s teplotou +5 °C sa hodí špeciálne na temperovanie sektov alebo šampanských. Oblasť medzi nimi je ideálna pre biele vína, ktoré treba skladovať pri teplote ich konzumácie.

Rad Vinidor

Zariadenia radu Vinidor ponúkajú najvyšší stupeň flexibility v používaní s dvomi alebo tromi priečinkami na víno, ktoré sa dajú nezávisle od seba presne nastaviť na teplotu od +5 °C do +20 °C. V jednom zariadení s tromi priečinkami na víno sa tak dajú naraz a pri optimálnej teplote uložiť červené, biele vína a šampanské. Ale tieto zariadenia vytvárajú ideálne klimatické podmienky aj na dlhodobé skladovanie vín. Vďaka rôznej veľkosti priečinkov na víno a absolútne flexibilnému nastaveniu teploty sa tieto zariadenia hodia ku každému individuálnemu vínnemu sortimentu.

Filter s aktívnym uhlím

Pachy v okolí môžu mať výrazný vplyv na víno pri jeho dlhšom skladovaní. Pri chladničkách na víno je cez prívod čerstvého vzduchu cez ľahko vymeniteľný filter z aktívneho uhlia FreshAir zaručená optimálna kvalita vzduchu.";;;1
BRPvg 8401;Liebherr BRPvg 8401 Performance;5632.17;Liebherr;"Úspornosť: A
Farba: Biela
Výška (cm): 211.50
Šírka (cm): 78.70
Hĺbka (cm): 101.70
Hmotnosť prístroja vrátane obalu (kg): 159.00
Spotreba elektrickej energie za 365 dní: 371.00
Hlučnosť (dB): 60.00
Počet chladiacich okruhov: 1
Čistý objem celkom (l): 700
Čistý objem chladničky (l): 700.00";"Gastro: interiér a exteriér z nehrdzavejúcej ocele

Povrch vonkajšieho krytu z jednodielnych bočníc je zhotovený bez štrbín, vďaka čomu je mimoriadne hygienický a nenáročný na údržbu. Nehrdzavejúca oceľ je legovaná oceľ, ktorá je mimoriadne odolná, vďaka čomu je ideálna na používanie v profesionálnom prostredí.

Gastro: vertikálne LED osvetlenie

Vertikálne LED osvetlenie optimálne osvetľuje interiér po celej výške spotrebiča. Vďaka dokonalému prehľadu na všetkých úrovniach požadovanú látku nájdete okamžite, takže dvere nebudú musieť byť otvorené dlho a teplota v interiéri zostane stabilná. Vyhnete sa tak zbytočnému hľadaniu a predovšetkým zvýšeným nákladom na energiu.

Gastro: jemný prachový filter

Jemný prachový filter chráni chladiace komponenty pred usadeninami prachu, napríklad z múčnych výrobkov, a zabezpečuje prakticky bezúdržbové používanie. Po inštalácii možno integrovanú kovovú filtračnú vložku vybrať a vyčistiť bez použitia náradia. Čistenie umývačky riadu je možné pri teplote 50 °C.

Gastro: kryt motora

Kryt motora s integrovanou elektronikou, ako aj dvere sú vyhotovené bez zbytočných nerovností, vďaka čomu sa čistia mimoriadne ľahko.

Gastro: tri rozsahy vlhkosti vzduchu na výber

S troma voliteľnými rozsahmi vlhkosti ponúkajú zariadenia optimálne skladovacie podmienky, napríklad pre čokolády, cukrové polevy alebo polotovary z cesta. Vďaka tomu sa tovar vždy skladuje v ideálnych podmienkach a kvalita zostáva nezmenená.

Gastro: odtok v podlahe

Ľahká perfektná hygiena: Integrovaný odtok v podlahe spotrebiča Liebherr umožňuje pohodlné čistenie v malých priestoroch. Voda jednoducho odtečie a váš spotrebič je opäť čistý.";;;1
